item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000166,O000462,P0467,3,757.56,5
OI000167,O000397,P0151,4,185.65,0
OI000168,O000383,P0493,2,737.73,0
OI000169,O000773,P0021,4,286.32,10
OI000170,O000267,P0083,5,847.55,0
OI000171,O000677,P0239,2,49.54,10
OI000172,O000105,P0397,5,844.71,10
OI000173,O000903,P0405,5,554.66,0
OI000174,O000651,P0270,2,957.42,0
OI000175,O000332,P0082,4,547.65,20
OI000176,O000189,P0179,2,884.56,10
OI000177,O000679,P0185,3,226.26,20
OI000178,O000019,P0059,3,451.21,5
OI000179,O000082,P0350,3,387.56,0
OI000180,O000791,P0132,5,726.74,0
OI000181,O000768,P0264,5,451.1,0
OI000182,O000608,P0460,2,327.11,0
OI000183,O000197,P0086,5,537.87,0
OI000184,O000432,P0344,2,866.3,20
OI000185,O000213,P0106,5,830.46,20
OI000186,O000148,P0383,2,33.52,10
OI000187,O000078,P0045,1,63.73,10
OI000188,O000145,P0295,2,911.88,20
OI000189,O000795,P0231,4,438.69,0
OI000190,O000798,P0345,1,539.49,0
OI000191,O000094,P0359,1,364.12,0
OI000192,O000594,P0403,3,610.5,10
OI000193,O000897,P0196,4,823.9,0
OI000194,O000971,P0081,5,227.67,20
OI000195,O000605,P0492,2,305.08,10
OI000196,O000023,P0284,5,149.96,0
OI000197,O000011,P0294,5,400.14,0
OI000198,O000625,P0108,3,219.62,5
OI000199,O000330,P0095,2,620.72,10
OI000200,O000398,P0059,2,674.27,0
OI000201,O000945,P0331,5,82.41,0
OI000202,O000514,P0051,2,728.33,20
OI000203,O000678,P0183,2,674.58,5
OI000204,O000205,P0146,5,79.11,5
OI000205,O000651,P0249,4,335.06,10
OI000206,O000313,P0290,5,370.85,10
OI000207,O000878,P0087,1,320.08,5
OI000208,O000894,P0142,3,142.96,10
OI000209,O000983,P0237,4,365.15,10
OI000210,O000998,P0283,1,184.01,0
OI000211,O000575,P0440,2,892.38,5
OI000212,O000540,P0376,1,730.15,0
OI000213,O000601,P0324,1,814.52,20
OI000214,O000436,P0465,1,556.08,20
OI000215,O000305,P0188,4,231.07,10
OI000216,O000275,P0238,5,515.31,20
OI000217,O000746,P0258,1,666.05,5
OI000218,O000288,P0229,2,187.35,5
OI000219,O000991,P0481,3,50.02,20
OI000220,O000475,P0033,3,375.74,0
OI000221,O000424,P0266,3,394.21,20
OI000222,O000096,P0021,3,112.19,10
OI000223,O000540,P0297,5,574.46,20
OI000224,O000776,P0188,5,656.8,0
OI000225,O000516,P0193,2,521.21,10
OI000226,O000707,P0250,4,888.3,0
OI000227,O000349,P0452,2,445.5,5
OI000228,O000158,P0264,3,219.4,5
OI000229,O000323,P0186,5,720.13,0
OI000230,O000472,P0213,3,723.05,20
OI000231,O000981,P0246,2,594.88,20
OI000232,O000046,P0125,1,136.61,5
OI000233,O000276,P0323,5,48.8,5
OI000234,O000115,P0086,3,923.22,20
OI000235,O000039,P0450,3,947.78,5
OI000236,O000920,P0311,4,868.63,5
OI000237,O000450,P0426,4,604.83,5
OI000238,O000374,P0136,2,726.94,10
OI000239,O000929,P0306,5,78.15,20
OI000240,O000790,P0068,1,26.4,20
OI000241,O000307,P0311,1,185.65,0
OI000242,O000941,P0386,1,102.26,5
OI000243,O000003,P0460,4,526.82,10
OI000244,O000089,P0358,5,434.67,20
OI000245,O000781,P0180,5,806.57,0
OI000246,O000872,P0069,3,482.37,5
OI000247,O000172,P0146,5,878.0,20
OI000248,O000528,P0097,1,712.06,0
OI000249,O000242,P0267,1,381.28,5
OI000250,O000647,P0210,3,115.52,20
OI000251,O000520,P0134,5,429.33,10
OI000252,O000565,P0349,4,757.42,20
OI000253,O000989,P0092,3,563.5,20
OI000254,O000520,P0158,5,350.91,20
OI000255,O000283,P0438,1,750.34,20
OI000256,O000332,P0052,2,513.26,10
OI000257,O000107,P0083,4,964.92,0
OI000258,O000187,P0422,2,476.95,20
OI000259,O000181,P0033,3,229.55,0
OI000260,O000078,P0371,4,931.38,20
OI000261,O000587,P0365,5,66.89,5
OI000262,O000093,P0225,1,209.69,10
OI000263,O000399,P0018,5,515.44,5
OI000264,O000348,P0346,1,366.14,0
OI000265,O000323,P0045,3,781.88,10
OI000266,O000810,P0208,5,208.31,0
OI000267,O000141,P0471,1,554.1,10
OI000268,O000712,P0494,3,234.03,5
OI000269,O000932,P0477,4,579.16,10
OI000270,O000359,P0209,5,115.4,0
OI000271,O000941,P0151,3,947.55,10
OI000272,O000513,P0356,4,966.39,20
OI000273,O000499,P0388,3,961.63,20
OI000274,O000944,P0460,5,863.4,20
OI000275,O000239,P0133,1,388.85,5
OI000276,O000471,P0410,3,418.3,10
OI000277,O000020,P0359,3,255.78,0
OI000278,O000818,P0345,3,85.27,5
OI000279,O000976,P0161,3,226.38,10
OI000280,O000375,P0485,2,504.01,5
OI000281,O000481,P0377,2,874.02,5
OI000282,O000470,P0104,2,837.97,10
OI000283,O000320,P0399,1,128.68,0
OI000284,O000317,P0315,1,766.6,0
OI000285,O000988,P0191,5,322.26,10
OI000286,O000994,P0094,5,287.46,5
OI000287,O000263,P0028,5,801.28,20
OI000288,O000067,P0258,3,399.78,5
OI000289,O000937,P0500,1,701.26,20
OI000290,O000647,P0353,1,21.7,5
OI000291,O000778,P0298,1,332.18,10
OI000292,O000384,P0281,3,244.77,20
OI000293,O000703,P0188,2,503.78,5
OI000294,O000859,P0359,3,371.43,20
OI000295,O000573,P0231,2,575.7,5
OI000296,O000205,P0370,3,806.05,20
OI000297,O000781,P0101,2,802.04,5
OI000298,O000969,P0413,1,184.84,20
OI000299,O000276,P0458,5,538.64,10
OI000300,O000997,P0154,3,566.52,0
OI000301,O000816,P0051,2,69.44,10
OI000302,O000976,P0430,1,455.36,10
OI000303,O000533,P0185,3,564.75,10
OI000304,O000705,P0011,4,130.03,5
OI000305,O000358,P0400,3,361.56,20
OI000306,O000916,P0456,1,387.26,10
OI000307,O000950,P0324,2,869.58,10
OI000308,O000864,P0324,5,575.92,0
OI000309,O000163,P0083,3,235.94,10
OI000310,O000597,P0364,3,609.33,20
OI000311,O000556,P0455,4,783.16,10
OI000312,O000923,P0212,2,192.05,0
OI000313,O000257,P0373,2,665.4,0
OI000314,O000432,P0086,4,111.98,0
OI000315,O000970,P0281,1,36.1,20
OI000316,O000171,P0054,3,621.92,0
OI000317,O000799,P0159,2,254.92,10
OI000318,O000908,P0321,2,139.96,5
OI000319,O000059,P0018,3,861.77,10
OI000320,O000976,P0240,5,935.51,20
OI000321,O000277,P0497,5,185.27,20
OI000322,O000891,P0269,5,316.56,10
OI000323,O000987,P0277,2,806.66,20
OI000324,O000631,P0188,4,267.21,10
OI000325,O000022,P0001,5,817.23,5
OI000326,O000705,P0147,4,539.75,20
OI000327,O000978,P0154,1,768.21,10
OI000328,O000474,P0408,1,552.73,5
OI000329,O000844,P0452,5,442.74,5
OI000330,O000335,P0367,4,830.14,5
OI000331,O000539,P0041,4,629.07,10
OI000332,O000584,P0333,5,810.72,20
OI000333,O000386,P0437,1,190.58,10
OI000334,O000227,P0327,4,621.55,10
OI000335,O000556,P0097,3,29.2,0
OI000336,O000046,P0096,1,289.29,5
OI000337,O000898,P0373,1,240.48,5
OI000338,O000031,P0253,2,348.49,10
OI000339,O000001,P0191,4,699.97,0
OI000340,O000677,P0042,2,65.48,20
OI000341,O000147,P0279,4,189.79,10
OI000342,O000782,P0425,1,130.74,5
OI000343,O000789,P0395,4,254.69,0
OI000344,O000408,P0236,1,525.93,5
OI000345,O000969,P0200,3,936.85,5
OI000346,O000087,P0382,5,525.72,10
OI000347,O000986,P0327,3,206.74,0
OI000348,O000447,P0499,1,243.61,20
OI000349,O000665,P0008,2,796.45,0
OI000350,O000811,P0405,2,18.84,0
OI000351,O000974,P0353,5,163.44,0
OI000352,O000510,P0081,4,100.49,10
OI000353,O000123,P0031,3,648.13,0
OI000354,O000258,P0250,2,323.57,10
OI000355,O000899,P0376,2,31.14,20
OI000356,O000734,P0371,2,258.19,0
OI000357,O000994,P0362,4,563.43,20
OI000358,O000389,P0291,2,548.18,10
OI000359,O000960,P0141,5,915.33,5
OI000360,O000142,P0272,2,454.89,10
OI000361,O000752,P0233,1,778.16,20
OI000362,O000380,P0453,1,623.54,10
OI000363,O000490,P0165,1,661.71,20
OI000364,O000389,P0269,4,768.08,5
OI000365,O000580,P0166,4,644.49,0
OI000366,O000198,P0268,1,53.34,5
OI000367,O000366,P0448,1,210.06,20
OI000368,O000393,P0051,1,575.3,20
OI000369,O000830,P0270,5,704.3,10
OI000370,O000101,P0188,2,609.89,0
OI000371,O000027,P0477,2,659.19,0
OI000372,O000959,P0411,1,367.32,20
OI000373,O000756,P0407,1,825.41,10
OI000374,O000084,P0376,1,836.11,0
OI000375,O000443,P0492,5,106.15,5
OI000376,O000790,P0098,2,530.93,5
OI000377,O000367,P0286,5,421.03,0
OI000378,O000734,P0346,4,705.52,20
OI000379,O000214,P0086,2,554.47,10
OI000380,O000324,P0274,5,448.58,10
OI000381,O000646,P0282,3,846.41,20
OI000382,O000882,P0423,3,612.33,5
OI000383,O000769,P0393,5,926.89,10
OI000384,O000738,P0493,4,453.02,20
OI000385,O000001,P0372,1,983.13,0
OI000386,O000277,P0456,3,16.5,5
OI000387,O000440,P0439,3,31.48,10
OI000388,O000984,P0285,5,926.66,5
OI000389,O000194,P0020,4,362.1,5
OI000390,O000543,P0188,5,257.36,10
OI000391,O000616,P0048,5,405.8,5
OI000392,O000159,P0371,3,794.98,5
OI000393,O001000,P0423,5,821.32,0
OI000394,O000616,P0020,5,387.73,0
OI000395,O000685,P0179,4,422.36,0
OI000396,O000465,P0383,5,929.37,20
OI000397,O000111,P0157,5,50.77,5
OI000398,O000670,P0258,2,161.67,20
OI000399,O000913,P0386,5,579.5,0
OI000400,O000455,P0222,3,788.5,5
OI000401,O000271,P0173,1,481.1,0
OI000402,O000818,P0135,1,404.54,20
OI000403,O000268,P0391,2,486.11,5
OI000404,O001000,P0203,5,204.14,5
OI000405,O000497,P0037,3,779.0,10
OI000406,O000184,P0058,4,429.31,10
OI000407,O000391,P0165,3,597.94,0
OI000408,O000625,P0087,3,620.06,20
OI000409,O000299,P0226,1,924.97,5
OI000410,O000409,P0351,3,164.43,0
OI000411,O000231,P0379,1,250.62,5
OI000412,O000590,P0008,3,696.86,0
OI000413,O000625,P0231,4,32.52,5
OI000414,O000434,P0105,5,528.03,10
OI000415,O000990,P0319,2,698.12,0
OI000416,O000772,P0299,5,53.05,5
OI000417,O000124,P0146,2,791.3,10
OI000418,O000109,P0239,1,75.93,10
OI000419,O000738,P0443,1,28.89,20
OI000420,O000474,P0195,5,976.85,0
OI000421,O000647,P0249,5,536.25,5
OI000422,O000408,P0257,4,565.08,0
OI000423,O000082,P0127,5,311.88,20
OI000424,O000806,P0382,2,28.19,10
OI000425,O000728,P0321,3,243.84,10
OI000426,O000127,P0321,3,879.89,0
OI000427,O000574,P0116,2,348.37,20
OI000428,O000282,P0045,4,525.51,5
OI000429,O000855,P0124,5,161.22,10
OI000430,O000675,P0230,5,140.45,5
OI000431,O000415,P0442,2,315.91,5
OI000432,O000881,P0466,2,659.67,5
OI000433,O000651,P0035,5,537.63,0
OI000434,O000378,P0163,2,729.81,10
OI000435,O000848,P0493,4,310.31,10
OI000436,O000312,P0399,2,115.7,5
OI000437,O000054,P0391,5,620.78,5
OI000438,O000476,P0119,1,365.67,20
OI000439,O000275,P0258,5,474.08,10
OI000440,O000377,P0437,4,496.53,5
OI000441,O000336,P0099,2,41.91,0
OI000442,O000553,P0487,4,230.33,5
OI000443,O000419,P0034,2,927.83,20
OI000444,O000830,P0353,3,868.11,5
OI000445,O000876,P0208,1,611.85,20
OI000446,O000641,P0202,5,939.75,0
OI000447,O000224,P0232,4,828.74,0
OI000448,O000504,P0266,5,401.66,0
OI000449,O000794,P0265,1,197.95,20
OI000450,O000816,P0453,3,775.94,10
OI000451,O000945,P0086,4,301.48,0
OI000452,O000292,P0238,4,99.54,0
OI000453,O000369,P0399,5,938.46,5
OI000454,O000806,P0212,3,456.38,5
OI000455,O000930,P0303,2,883.72,0
OI000456,O000513,P0166,2,721.19,0
OI000457,O000187,P0059,4,637.73,0
OI000458,O000787,P0373,5,615.95,5
OI000459,O000776,P0282,4,53.47,5
OI000460,O000687,P0290,2,170.5,5
OI000461,O000367,P0394,1,425.39,10
OI000462,O000914,P0148,2,126.38,5
OI000463,O000416,P0002,5,767.74,0
OI000464,O000940,P0255,4,548.07,0
OI000465,O000503,P0122,2,592.97,20
OI000466,O000930,P0210,4,88.61,0
OI000467,O000502,P0452,5,285.33,5
OI000468,O000101,P0095,2,64.51,10
OI000469,O000076,P0075,1,670.33,10
OI000470,O000679,P0472,1,58.54,20
OI000471,O000366,P0083,3,614.98,5
OI000472,O000933,P0384,5,366.59,0
OI000473,O000191,P0394,3,329.59,20
OI000474,O000139,P0389,4,844.88,0
OI000475,O000600,P0242,2,130.8,10
OI000476,O000675,P0270,4,529.4,5
OI000477,O000120,P0056,5,732.43,0
OI000478,O000991,P0371,5,934.55,10
OI000479,O000875,P0312,3,267.06,10
OI000480,O000266,P0315,5,501.43,20
OI000481,O000317,P0414,2,884.83,5
OI000482,O000595,P0100,1,127.03,20
OI000483,O000242,P0378,2,801.57,20
OI000484,O000848,P0024,3,356.15,5
OI000485,O000024,P0328,2,693.12,10
OI000486,O000139,P0158,3,511.62,10
OI000487,O000013,P0059,3,347.95,0
OI000488,O000360,P0100,3,835.49,20
OI000489,O000972,P0409,1,649.2,20
OI000490,O000319,P0322,4,893.14,10
OI000491,O000948,P0402,4,928.51,0
OI000492,O000614,P0290,3,559.63,0
OI000493,O000427,P0296,3,801.54,10
OI000494,O000136,P0497,2,287.66,0
OI000495,O000695,P0193,5,843.98,20
OI000496,O000384,P0305,1,865.95,10
OI000497,O000645,P0364,1,278.78,0
OI000498,O000021,P0450,2,377.87,10
OI000499,O000443,P0269,3,183.26,10
OI000500,O000077,P0399,2,914.22,20
OI000501,O000023,P0013,4,905.91,5
OI000502,O000390,P0175,4,735.12,10
OI000503,O000671,P0074,1,823.92,5
OI000504,O000421,P0371,1,464.77,0
OI000505,O000009,P0160,1,690.18,0
OI000506,O000683,P0240,1,112.07,10
OI000507,O000047,P0296,3,642.46,5
OI000508,O000658,P0103,2,293.7,10
OI000509,O000904,P0344,1,279.93,5
OI000510,O000561,P0059,1,958.72,0
OI000511,O000424,P0278,3,553.87,10
OI000512,O000290,P0483,3,578.34,5
OI000513,O000146,P0160,5,893.32,20
OI000514,O000104,P0067,1,476.03,0
OI000515,O000217,P0197,1,95.26,20
OI000516,O000367,P0361,5,892.36,20
OI000517,O000729,P0160,3,819.27,0
OI000518,O000954,P0291,2,101.99,20
OI000519,O000200,P0234,3,687.63,20
OI000520,O000964,P0119,2,152.28,10
OI000521,O000745,P0201,2,702.62,10
OI000522,O000666,P0233,4,39.96,20
OI000523,O000232,P0180,4,466.63,5
OI000524,O000579,P0394,3,608.4,5
OI000525,O000146,P0053,4,819.38,0
OI000526,O000668,P0285,1,794.51,20
OI000527,O000821,P0303,4,246.19,5
OI000528,O000326,P0499,4,389.98,10
OI000529,O000427,P0417,5,436.84,20
OI000530,O000701,P0279,2,181.35,0
OI000531,O000997,P0059,5,600.11,10
OI000532,O000200,P0421,4,184.41,20
OI000533,O000143,P0307,1,688.65,20
OI000534,O000671,P0254,1,99.63,5
OI000535,O000001,P0388,2,664.27,20
OI000536,O000597,P0200,5,582.15,5
OI000537,O000422,P0349,3,306.74,10
OI000538,O000891,P0368,3,990.39,0
OI000539,O000882,P0207,2,853.98,0
OI000540,O000757,P0462,5,968.22,0
OI000541,O000736,P0057,3,867.02,5
OI000542,O000885,P0360,5,400.33,10
OI000543,O000784,P0208,4,440.84,5
OI000544,O000356,P0244,2,196.34,20
OI000545,O000738,P0431,4,162.72,5
OI000546,O000276,P0006,1,651.91,5
OI000547,O000997,P0337,4,975.23,5
OI000548,O000174,P0071,4,861.55,20
OI000549,O000369,P0233,5,429.88,20
OI000550,O000788,P0182,2,193.93,0
OI000551,O000001,P0434,2,715.01,10
OI000552,O000842,P0475,5,580.59,0
OI000553,O000078,P0291,4,707.83,0
OI000554,O000987,P0493,1,150.67,10
OI000555,O000953,P0265,1,528.12,0
OI000556,O000503,P0242,1,687.23,10
OI000557,O000109,P0463,3,539.68,0
OI000558,O000961,P0233,5,906.99,10
OI000559,O000863,P0181,3,296.32,0
OI000560,O000623,P0373,5,267.84,20
OI000561,O000347,P0294,1,659.76,10
OI000562,O000056,P0147,4,91.69,0
OI000563,O000570,P0130,2,619.64,10
OI000564,O000527,P0008,1,607.78,5
OI000565,O000915,P0190,2,268.64,5
OI000566,O000994,P0093,5,863.39,10
OI000567,O000173,P0496,2,599.59,5
OI000568,O000617,P0386,4,772.66,5
OI000569,O000902,P0372,2,218.75,10
OI000570,O000112,P0329,3,757.93,0
OI000571,O000108,P0086,4,404.76,10
OI000572,O000976,P0383,5,241.32,20
OI000573,O000972,P0135,2,535.14,20
OI000574,O000025,P0148,4,388.18,10
OI000575,O000085,P0050,5,641.05,20
OI000576,O000559,P0172,3,274.42,0
OI000577,O000523,P0336,5,397.24,5
OI000578,O000400,P0267,3,680.94,5
OI000579,O000642,P0281,1,676.07,0
OI000580,O000025,P0211,1,530.01,20
OI000581,O000720,P0113,3,259.38,0
OI000582,O000049,P0318,1,66.31,5
OI000583,O000250,P0363,1,95.52,5
OI000584,O000770,P0337,5,805.17,5
OI000585,O000228,P0357,2,260.8,20
OI000586,O000156,P0328,4,923.47,10
OI000587,O000875,P0355,3,264.76,0
OI000588,O000568,P0398,1,388.97,10
OI000589,O000124,P0133,3,186.15,0
OI000590,O000556,P0476,2,614.2,5
OI000591,O000556,P0056,2,545.23,20
OI000592,O000448,P0315,1,913.48,10
OI000593,O000212,P0018,1,79.71,10
OI000594,O000914,P0010,4,157.37,0
OI000595,O000078,P0341,4,273.77,10
OI000596,O000802,P0295,1,520.23,20
OI000597,O000980,P0224,4,845.61,0
OI000598,O000463,P0002,4,954.61,20
OI000599,O000249,P0291,5,935.69,10
OI000600,O000683,P0350,3,406.61,0
OI000601,O000749,P0274,3,89.65,20
OI000602,O000594,P0332,2,184.85,0
OI000603,O000787,P0339,2,305.88,20
OI000604,O000219,P0323,3,491.64,20
OI000605,O000389,P0072,1,201.16,5
OI000606,O000193,P0200,1,794.81,10
OI000607,O000629,P0274,4,966.91,0
OI000608,O000076,P0174,1,344.34,0
OI000609,O000831,P0061,2,809.03,20
OI000610,O000306,P0380,5,240.66,0
OI000611,O000076,P0377,2,494.01,0
OI000612,O000966,P0465,5,55.34,5
OI000613,O000030,P0089,1,905.62,0
OI000614,O000935,P0313,2,837.0,0
OI000615,O000218,P0059,4,599.03,5
OI000616,O000130,P0412,2,431.95,20
OI000617,O000665,P0062,5,550.43,10
OI000618,O000437,P0392,1,597.15,10
OI000619,O000130,P0062,3,149.82,20
OI000620,O000345,P0357,3,557.87,20
OI000621,O000499,P0474,5,50.29,0
OI000622,O000771,P0399,2,25.47,20
OI000623,O000166,P0004,1,187.62,0
OI000624,O000582,P0214,4,695.43,5
OI000625,O000294,P0328,3,527.86,20
OI000626,O000490,P0481,2,614.43,0
OI000627,O000369,P0368,4,615.93,0
OI000628,O000617,P0179,4,14.52,5
OI000629,O000394,P0061,5,977.02,10
OI000630,O000722,P0113,4,772.63,5
OI000631,O000567,P0028,2,121.55,5
OI000632,O000972,P0255,2,168.16,0
OI000633,O000111,P0331,3,292.21,20
OI000634,O000515,P0172,5,807.1,20
OI000635,O000089,P0054,1,925.61,5
OI000636,O000324,P0403,1,490.21,0
OI000637,O000146,P0459,2,724.19,10
OI000638,O000859,P0102,3,237.76,0
OI000639,O000668,P0117,1,244.75,20
OI000640,O000410,P0193,2,82.79,20
OI000641,O000112,P0456,4,153.49,20
OI000642,O000365,P0199,3,145.04,5
OI000643,O000735,P0500,3,210.19,5
OI000644,O000066,P0355,5,69.06,5
OI000645,O000228,P0437,4,463.99,5
OI000646,O000704,P0113,3,607.6,5
OI000647,O000471,P0045,4,858.4,20
OI000648,O000444,P0303,4,838.62,10
OI000649,O000030,P0374,4,738.82,5
OI000650,O000508,P0168,4,583.67,5
OI000651,O000011,P0214,1,49.66,20
OI000652,O000865,P0018,4,535.81,20
OI000653,O000201,P0232,4,248.11,0
OI000654,O000833,P0487,2,141.38,10
OI000655,O000490,P0332,1,25.77,10
OI000656,O000332,P0361,4,859.34,0
OI000657,O000932,P0238,2,875.46,20
OI000658,O000379,P0405,3,630.54,0
OI000659,O000145,P0198,3,535.61,10
OI000660,O000873,P0386,3,701.07,5
OI000661,O000166,P0318,3,738.4,0
OI000662,O000746,P0455,1,119.86,10
OI000663,O000954,P0317,1,371.92,5
OI000664,O000138,P0288,2,147.02,10
